national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url
6133,Estonia,estonia,47,Estonia,EST1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/6133.png?lm=1403452024,27,25.5,16,59.3,13900000,,127,2025,https://www.transfermarkt.co.uk/estonia/startseite/verein/6133
6219,Armenia,armenia,10,Armenia,ARM1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/6219.png?lm=1683414604,27,26.0,12,44.4,42230000,,107,2025,https://www.transfermarkt.co.uk/armenia/startseite/verein/6219
6303,Mexico,mexico,110,Mexico,MEX1,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/6303.png?lm=1638391347,26,28.0,14,53.8,191850006,,14,2025,https://www.transfermarkt.co.uk/mexico/startseite/verein/6303
6602,Libya,libya,96,Libya,LPL,CAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/6602.png?lm=1447869199,19,26.6,6,31.6,10430000,,110,2025,https://www.transfermarkt.co.uk/libya/startseite/verein/6602
8497,Costa Rica,costa-rica,36,Costa Rica,CRPD,CONCACAF,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/8497.png?lm=1639040286,21,24.8,7,33.3,28200001,,53,2025,https://www.transfermarkt.co.uk/costa-rica/startseite/verein/8497
8605,Azerbaijan,azerbaijan,13,Azerbaijan,AZ1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/8605.png?lm=1409653171,27,27.7,6,22.2,21680000,,126,2025,https://www.transfermarkt.co.uk/azerbaijan/startseite/verein/8605
8778,Vietnam,vietnam,185,Vietnam,VIE1,AFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/8778.png?lm=1696868523,29,27.6,0,,7430000,,99,2025,https://www.transfermarkt.co.uk/vietnam/startseite/verein/8778
9110,Kazakhstan,kazakhstan,81,Kazakhstan,KAS1,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/9110.png?lm=1630582832,25,26.0,4,16.0,16299999,,111,2025,https://www.transfermarkt.co.uk/kazakhstan/startseite/verein/9110
9171,New Zealand,new-zealand,120,New Zealand,NNL1,OFC,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/9171.png?lm=1403457664,26,28.3,17,65.4,34299999,,85,2025,https://www.transfermarkt.co.uk/new-zealand/startseite/verein/9171
9173,Faroe Islands,faroe-islands,208,Faroe Islands,FARO,UEFA,https://tmssl.akamaized.net//images/wappen/homepageWappen150x150/9173.png?lm=1410167969,23,27.5,7,30.4,5130000,,123,2025,https://www.transfermarkt.co.uk/faroe-islands/startseite/verein/9173
